"ORDER","ZIP CODE","CITY","STATE","DATE TIME","UV VALUE"
        1,87101,Albuquerque,NM,Dec/01/2024 04 AM,0
        2,87101,Albuquerque,NM,Dec/01/2024 05 AM,0
        3,87101,Albuquerque,NM,Dec/01/2024 06 AM,0
        4,87101,Albuquerque,NM,Dec/01/2024 07 AM,0
        5,87101,Albuquerque,NM,Dec/01/2024 08 AM,0
        6,87101,Albuquerque,NM,Dec/01/2024 09 AM,1
        7,87101,Albuquerque,NM,Dec/01/2024 10 AM,2
        8,87101,Albuquerque,NM,Dec/01/2024 11 AM,3
        9,87101,Albuquerque,NM,Dec/01/2024 12 PM,3
        10,87101,Albuquerque,NM,Dec/01/2024 01 PM,3
        11,87101,Albuquerque,NM,Dec/01/2024 02 PM,2
        12,87101,Albuquerque,NM,Dec/01/2024 03 PM,1
        13,87101,Albuquerque,NM,Dec/01/2024 04 PM,0
        14,87101,Albuquerque,NM,Nov/30/2024 05 PM,0
        15,87101,Albuquerque,NM,Nov/30/2024 06 PM,0
        16,87101,Albuquerque,NM,Nov/30/2024 07 PM,0
        17,87101,Albuquerque,NM,Nov/30/2024 08 PM,0
        18,87101,Albuquerque,NM,Nov/30/2024 09 PM,0
        19,87101,Albuquerque,NM,Nov/30/2024 10 PM,0
        20,87101,Albuquerque,NM,Nov/30/2024 11 PM,0
        21,87101,Albuquerque,NM,Dec/02/2024 12 AM,0
